Name: en-GB-Chirp3-HD-Leda, Language Codes: en-GB, SSML Gender: FEMALE
Name: en-GB-Chirp3-HD-Orus, Language Codes: en-GB, SSML Gender: MALE
Name: en-GB-Chirp3-HD-Puck, Language Codes: en-GB, SSML Gender: MALE
Name: en-GB-Chirp3-HD-Zephyr, Language Codes: en-GB, SSML Gender: FEMALE
Name: en-GB-Neural2-A, Language Codes: en-GB, SSML Gender: FEMALE
Name: en-GB-Neural2-B, Language Codes: en-GB, SSML Gender: MALE
Name: en-GB-Neural2-C, Language Codes: en-GB, SSML Gender: FEMALE
Name: en-GB-Neural2-D, Language Codes: en-GB, SSML Gender: MALE
Name: en-GB-Neural2-F, Language Codes: en-GB, SSML Gender: FEMALE
Name: en-GB-Neural2-N, Language Codes: en-GB, SSML Gender: FEMALE
Name: en-GB-Neural2-O, Language Codes: en-GB, SSML Gender: MALE
Name: en-GB-News-G, Language Codes: en-GB, SSML Gender: FEMALE
Name: en-GB-News-H, Language Codes: en-GB, SSML Gender: FEMALE
Name: en-GB-News-I, Language Codes: en-GB, SSML Gender: FEMALE
Name: en-GB-News-J, Language Codes: en-GB, SSML Gender: MALE
Name: en-GB-News-K, Language Codes: en-GB, SSML Gender: MALE
Name: en-GB-News-L, Language Codes: en-GB, SSML Gender: MALE
Name: en-GB-News-M, Language Codes: en-GB, SSML Gender: MALE
Name: en-GB-Standard-A, Language Codes: en-GB, SSML Gender: FEMALE
Name: en-GB-Standard-B, Language Codes: en-GB, SSML Gender: MALE
Name: en-GB-Standard-C, Language Codes: en-GB, SSML Gender: FEMALE
Name: en-GB-Standard-D, Language Codes: en-GB, SSML Gender: MALE
Name: en-GB-Standard-F, Language Codes: en-GB, SSML Gender: FEMALE
Name: en-GB-Standard-N, Language Codes: en-GB, SSML Gender: FEMALE
Name: en-GB-Standard-O, Language Codes: en-GB, SSML Gender: MALE
Name: en-GB-Studio-B, Language Codes: en-GB, SSML Gender: MALE
Name: en-GB-Studio-C, Language Codes: en-GB, SSML Gender: FEMALE
Name: en-GB-Wavenet-A, Language Codes: en-GB, SSML Gender: FEMALE
Name: en-GB-Wavenet-B, Language Codes: en-GB, SSML Gender: MALE
Name: en-GB-Wavenet-C, Language Codes: en-GB, SSML Gender: FEMALE
Name: en-GB-Wavenet-D, Language Codes: en-GB, SSML Gender: MALE
Name: en-GB-Wavenet-F, Language Codes: en-GB, SSML Gender: FEMALE
Name: en-GB-Wavenet-N, Language Codes: en-GB, SSML Gender: FEMALE
Name: en-GB-Wavenet-O, Language Codes: en-GB, SSML Gender: MALE
Name: en-IN-Chirp-HD-D, Language Codes: en-IN, SSML Gender: MALE
Name: en-IN-Chirp-HD-F, Language Codes: en-IN, SSML Gender: FEMALE
Name: en-IN-Chirp-HD-O, Language Codes: en-IN, SSML Gender: FEMALE
Name: en-IN-Chirp3-HD-Aoede, Language Codes: en-IN, SSML Gender: FEMALE
Name: en-IN-Chirp3-HD-Charon, Language Codes: en-IN, SSML Gender: MALE
Name: en-IN-Chirp3-HD-Fenrir, Language Codes: en-IN, SSML Gender: MALE
Name: en-IN-Chirp3-HD-Kore, Language Codes: en-IN, SSML Gender: FEMALE
Name: en-IN-Chirp3-HD-Leda, Language Codes: en-IN, SSML Gender: FEMALE
Name: en-IN-Chirp3-HD-Orus, Language Codes: en-IN, SSML Gender: MALE
Name: en-IN-Chirp3-HD-Puck, Language Codes: en-IN, SSML Gender: MALE
Name: en-IN-Chirp3-HD-Zephyr, Language Codes: en-IN, SSML Gender: FEMALE
Name: en-IN-Neural2-A, Language Codes: en-IN, SSML Gender: FEMALE
Name: en-IN-Neural2-B, Language Codes: en-IN, SSML Gender: MALE
Name: en-IN-Neural2-C, Language Codes: en-IN, SSML Gender: MALE
Name: en-IN-Neural2-D, Language Codes: en-IN, SSML Gender: FEMALE
Name: en-IN-Standard-A, Language Codes: en-IN, SSML Gender: FEMALE
Name: en-IN-Standard-B, Language Codes: en-IN, SSML Gender: MALE
Name: en-IN-Standard-C, Language Codes: en-IN, SSML Gender: MALE
Name: en-IN-Standard-D, Language Codes: en-IN, SSML Gender: FEMALE
Name: en-IN-Standard-E, Language Codes: en-IN, SSML Gender: FEMALE
Name: en-IN-Standard-F, Language Codes: en-IN, SSML Gender: MALE
Name: en-IN-Wavenet-A, Language Codes: en-IN, SSML Gender: FEMALE
Name: en-IN-Wavenet-B, Language Codes: en-IN, SSML Gender: MALE
Name: en-IN-Wavenet-C, Language Codes: en-IN, SSML Gender: MALE
Name: en-IN-Wavenet-D, Language Codes: en-IN, SSML Gender: FEMALE
Name: en-IN-Wavenet-E, Language Codes: en-IN, SSML Gender: FEMALE
